variant,backend,precision,threshold,f1,precision_metric,recall,true_positives,false_positives,false_negatives,total_detections
baseline,ONNX_Runtime,INT8,0.3,0.5387283236994218,0.3739967897271267,0.9628099173553708,932,1560,36,2492
baseline,ONNX_Runtime,INT8,0.301,0.5410740203193032,0.3762616067823979,0.9628099173553708,932,1545,36,2477
baseline,ONNX_Runtime,INT8,0.302,0.543281842028563,0.3784003248071456,0.9628099173553708,932,1531,36,2463
baseline,ONNX_Runtime,INT8,0.303,0.5443925233644858,0.3794788273615633,0.9628099173553708,932,1524,36,2456
baseline,ONNX_Runtime,INT8,0.304,0.5475910693301996,0.3825944170771755,0.9628099173553708,932,1504,36,2436
baseline,ONNX_Runtime,INT8,0.305,0.5498525073746311,0.3848059454995869,0.9628099173553708,932,1490,36,2422
baseline,ONNX_Runtime,INT8,0.306,0.5516424977804083,0.3865615927001243,0.9628099173553708,932,1479,36,2411
baseline,ONNX_Runtime,INT8,0.307,0.5537730243612595,0.3886572143452876,0.9628099173553708,932,1466,36,2398
baseline,ONNX_Runtime,INT8,0.308,0.5549270616254837,0.3897950648264323,0.9628099173553708,932,1459,36,2391
baseline,ONNX_Runtime,INT8,0.309,0.5562518651148909,0.39110365086026,0.9628099173553708,932,1451,36,2383
baseline,ONNX_Runtime,INT8,0.31,0.5577498503889885,0.3925863521482728,0.9628099173553708,932,1442,36,2374
baseline,ONNX_Runtime,INT8,0.311,0.56043295249549,0.395250212044105,0.9628099173553708,932,1426,36,2358
baseline,ONNX_Runtime,INT8,0.312,0.5616892911010557,0.3966766084363015,0.9617768595041312,931,1416,37,2347
baseline,ONNX_Runtime,INT8,0.313,0.5632183908045976,0.3982035928143711,0.9617768595041312,931,1407,37,2338
baseline,ONNX_Runtime,INT8,0.314,0.5657854755393495,0.400774860094705,0.9617768595041312,931,1392,37,2323
baseline,ONNX_Runtime,INT8,0.315,0.5682026243515409,0.4032048505846685,0.9617768595041312,931,1378,37,2309
baseline,ONNX_Runtime,INT8,0.316,0.5688970363580811,0.4039045553145334,0.9617768595041312,931,1374,37,2305
baseline,ONNX_Runtime,INT8,0.317,0.5708154506437767,0.4058413251961637,0.9617768595041312,931,1363,37,2294
baseline,ONNX_Runtime,INT8,0.318,0.5725707257072569,0.407618213660245,0.9617768595041312,931,1353,37,2284
baseline,ONNX_Runtime,INT8,0.319,0.574074074074074,0.4093309859154928,0.9607438016528916,930,1342,38,2272
baseline,ONNX_Runtime,INT8,0.32,0.5755885997521684,0.4110619469026547,0.959710743801652,929,1331,39,2260
baseline,ONNX_Runtime,INT8,0.321,0.5783733250233716,0.4141008478357874,0.9586776859504124,928,1313,40,2241
baseline,ONNX_Runtime,INT8,0.322,0.5801813066583306,0.4159569699686237,0.9586776859504124,928,1303,40,2231
baseline,ONNX_Runtime,INT8,0.323,0.5815558343789208,0.4175675675675674,0.9576446280991724,927,1293,41,2220
baseline,ONNX_Runtime,INT8,0.324,0.5833857772183761,0.4194570135746605,0.9576446280991724,927,1283,41,2210
baseline,ONNX_Runtime,INT8,0.325,0.5852272727272726,0.4213636363636361,0.9576446280991724,927,1273,41,2200
baseline,ONNX_Runtime,INT8,0.326,0.5881979695431471,0.4244505494505493,0.9576446280991724,927,1257,41,2184
baseline,ONNX_Runtime,INT8,0.327,0.5893197711379528,0.4256198347107436,0.9576446280991724,927,1251,41,2178
baseline,ONNX_Runtime,INT8,0.328,0.5898089171974521,0.4263351749539593,0.9566115702479328,926,1246,42,2172
baseline,ONNX_Runtime,INT8,0.329,0.5920716112531967,0.4287037037037035,0.9566115702479328,926,1234,42,2160
baseline,ONNX_Runtime,INT8,0.33,0.59397049390635,0.4306976744186044,0.9566115702479328,926,1224,42,2150
baseline,ONNX_Runtime,INT8,0.331,0.5956213779781068,0.4326473339569689,0.9555785123966932,925,1213,43,2138
baseline,ONNX_Runtime,INT8,0.332,0.5969667634720875,0.4340685124354761,0.9555785123966932,925,1206,43,2131
baseline,ONNX_Runtime,INT8,0.333,0.5983182406209572,0.4354990583804141,0.9555785123966932,925,1199,43,2124
baseline,ONNX_Runtime,INT8,0.334,0.599870298313878,0.4371455576559544,0.9555785123966932,925,1191,43,2116
baseline,ONNX_Runtime,INT8,0.335,0.6014304291287385,0.4388045540796962,0.9555785123966932,925,1183,43,2108
baseline,ONNX_Runtime,INT8,0.336,0.6028022157054413,0.4402665397429793,0.9555785123966932,925,1176,43,2101
baseline,ONNX_Runtime,INT8,0.337,0.6039830231798888,0.4415274463007158,0.9555785123966932,925,1170,43,2095
baseline,ONNX_Runtime,INT8,0.338,0.6055646481178394,0.443219932918064,0.9555785123966932,925,1162,43,2087
baseline,ONNX_Runtime,INT8,0.339,0.6069553805774276,0.4447115384615382,0.9555785123966932,925,1155,43,2080
baseline,ONNX_Runtime,INT8,0.34,0.607752956636005,0.4455684007707127,0.9555785123966932,925,1151,43,2076
baseline,ONNX_Runtime,INT8,0.341,0.6093544137022396,0.4472920696324949,0.9555785123966932,925,1143,43,2068
baseline,ONNX_Runtime,INT8,0.342,0.6103596172880236,0.4483761512360638,0.9555785123966932,925,1138,43,2063
baseline,ONNX_Runtime,INT8,0.343,0.6117179741807347,0.4500730638090597,0.9545454545454536,924,1129,44,2053
baseline,ONNX_Runtime,INT8,0.344,0.6132890365448503,0.4520078354554356,0.9535123966942138,923,1119,45,2042
baseline,ONNX_Runtime,INT8,0.345,0.6151282905698099,0.4540088539104769,0.9535123966942138,923,1110,45,2033
baseline,ONNX_Runtime,INT8,0.346,0.6165664662658649,0.4555774925962486,0.9535123966942138,923,1103,45,2026
baseline,ONNX_Runtime,INT8,0.347,0.6184254606365157,0.4576103123450667,0.9535123966942138,923,1094,45,2017
baseline,ONNX_Runtime,INT8,0.348,0.6207128446536649,0.4601196410767695,0.9535123966942138,923,1083,45,2006
baseline,ONNX_Runtime,INT8,0.349,0.6221772834512974,0.4617308654327161,0.9535123966942138,923,1076,45,1999
baseline,ONNX_Runtime,INT8,0.35,0.6242813662495771,0.4640522875816991,0.9535123966942138,923,1066,45,1989
baseline,ONNX_Runtime,INT8,0.351,0.6253387533875336,0.4652217741935481,0.9535123966942138,923,1061,45,1984
baseline,ONNX_Runtime,INT8,0.352,0.6263997285374956,0.466397170288024,0.9535123966942138,923,1056,45,1979
baseline,ONNX_Runtime,INT8,0.353,0.6280653950953676,0.4684959349593494,0.9524793388429742,922,1046,46,1968
baseline,ONNX_Runtime,INT8,0.354,0.6297814207650271,0.4704081632653059,0.9524793388429742,922,1038,46,1960
baseline,ONNX_Runtime,INT8,0.355,0.6310380267214798,0.4720656073808301,0.9514462809917346,921,1030,47,1951
baseline,ONNX_Runtime,INT8,0.356,0.6310013717421122,0.4722792607802872,0.9504132231404948,920,1028,48,1948
baseline,ONNX_Runtime,INT8,0.357,0.6327022375215144,0.4744450180691789,0.9493801652892552,919,1018,49,1937
baseline,ONNX_Runtime,INT8,0.358,0.6348877374784109,0.4769071094966267,0.9493801652892552,919,1008,49,1927
baseline,ONNX_Runtime,INT8,0.359,0.6357661708751295,0.4778991159646383,0.9493801652892552,919,1004,49,1923
baseline,ONNX_Runtime,INT8,0.36,0.6370883882149044,0.4793948878455918,0.9493801652892552,919,998,49,1917
baseline,ONNX_Runtime,INT8,0.361,0.6384161167071898,0.4809000523286235,0.9493801652892552,919,992,49,1911
baseline,ONNX_Runtime,INT8,0.362,0.6395267919276268,0.4821615949632736,0.9493801652892552,919,987,49,1906
baseline,ONNX_Runtime,INT8,0.363,0.6422082459818307,0.4852164730728614,0.9493801652892552,919,975,49,1894
baseline,ONNX_Runtime,INT8,0.364,0.6437828371278457,0.4870164281928985,0.9493801652892552,919,968,49,1887
baseline,ONNX_Runtime,INT8,0.365,0.6458186929023189,0.489350372736954,0.9493801652892552,919,959,49,1878
baseline,ONNX_Runtime,INT8,0.366,0.6478674656327104,0.4917067950775813,0.9493801652892552,919,950,49,1869
baseline,ONNX_Runtime,INT8,0.367,0.6492405510420344,0.4932903918411162,0.9493801652892552,919,944,49,1863
baseline,ONNX_Runtime,INT8,0.368,0.650602409638554,0.4951456310679609,0.9483471074380156,918,936,50,1854
baseline,ONNX_Runtime,INT8,0.369,0.6517571884984024,0.4964845862628445,0.9483471074380156,918,931,50,1849
baseline,ONNX_Runtime,INT8,0.37,0.6538461538461536,0.4989130434782606,0.9483471074380156,918,922,50,1840
baseline,ONNX_Runtime,INT8,0.371,0.6554801856479826,0.5008183306055644,0.9483471074380156,918,915,50,1833
baseline,ONNX_Runtime,INT8,0.372,0.6573576799140707,0.5030136986301368,0.9483471074380156,918,907,50,1825
baseline,ONNX_Runtime,INT8,0.373,0.6578192252510758,0.5038461538461536,0.947314049586776,917,903,51,1820
baseline,ONNX_Runtime,INT8,0.374,0.6582914572864319,0.5044004400440042,0.947314049586776,917,901,51,1818
baseline,ONNX_Runtime,INT8,0.375,0.6592379583033786,0.5055126791620725,0.947314049586776,917,897,51,1814
baseline,ONNX_Runtime,INT8,0.376,0.6625722543352599,0.5094444444444441,0.947314049586776,917,883,51,1800
baseline,ONNX_Runtime,INT8,0.377,0.6640115858073857,0.511148272017837,0.947314049586776,917,877,51,1794
baseline,ONNX_Runtime,INT8,0.378,0.6652158142908957,0.5125768585802122,0.947314049586776,917,872,51,1789
baseline,ONNX_Runtime,INT8,0.379,0.6656987295825769,0.5131505316172353,0.947314049586776,917,870,51,1787
baseline,ONNX_Runtime,INT8,0.38,0.6669090909090907,0.514590347923681,0.947314049586776,917,865,51,1782
baseline,ONNX_Runtime,INT8,0.381,0.6678805535324106,0.5157480314960627,0.947314049586776,917,861,51,1778
baseline,ONNX_Runtime,INT8,0.382,0.6681238615664843,0.5160382667416993,0.947314049586776,917,860,51,1777
baseline,ONNX_Runtime,INT8,0.383,0.6700767263427108,0.5183719615602033,0.947314049586776,917,852,51,1769
baseline,ONNX_Runtime,INT8,0.384,0.6725339200586723,0.521318931210915,0.947314049586776,917,842,51,1759
baseline,ONNX_Runtime,INT8,0.385,0.6725403817914829,0.5216400911161728,0.946280991735536,916,840,52,1756
baseline,ONNX_Runtime,INT8,0.386,0.6728008833271989,0.5225843339050884,0.9442148760330568,914,835,54,1749
baseline,ONNX_Runtime,INT8,0.387,0.675036927621861,0.5252873563218388,0.9442148760330568,914,826,54,1740
