variant,threshold,f1,precision,recall,total_detections,true_positives,false_positives,false_negatives
baseline,0.3,0.49482596425211645,0.33396825396825375,0.9546279491833013,1575,526,1049,25
baseline,0.35,0.5961098398169333,0.43525480367585595,0.945553539019962,1197,521,676,30
baseline,0.4,0.6710097719869703,0.5233739837398369,0.9346642468239547,984,515,469,36
baseline,0.45,0.7319211102994881,0.6124694376528109,0.9092558983666045,818,501,317,50
baseline,0.5,0.7674050632911387,0.6802244039270677,0.8802177858439185,713,485,228,66
baseline,0.55,0.789383561643835,0.7471636952998367,0.8366606170598896,617,461,156,90
baseline,0.584,0.8018018018018012,0.7960644007155621,0.8076225045372036,559,445,114,106
baseline,0.6,0.8011100832562436,0.8169811320754701,0.7858439201451891,530,433,97,118
baseline,0.65,0.8165680473372773,0.8941684665226762,0.7513611615244995,463,414,49,137
baseline,0.7,0.7611940298507455,0.9224806201550363,0.6479128856624308,387,357,30,194
baseline,0.75,0.6744457409568253,0.9444444444444413,0.5245009074410154,306,289,17,262
baseline,0.8,0.5456919060052212,0.9720930232558095,0.3793103448275855,215,209,6,342
fcos18_depgraph_fpn_head_50pct,0.3,0.4950401511572978,0.33461047254150683,0.9509981851179655,1566,524,1042,27
fcos18_depgraph_fpn_head_50pct,0.35,0.6047591410330815,0.44453924914675735,0.945553539019962,1172,521,651,30
fcos18_depgraph_fpn_head_50pct,0.4,0.6841046277665992,0.5425531914893611,0.9255898366606153,940,510,430,41
fcos18_depgraph_fpn_head_50pct,0.45,0.738415545590433,0.6277001270648023,0.8965517241379294,787,494,293,57
fcos18_depgraph_fpn_head_50pct,0.5,0.7691043549712402,0.7027027027027016,0.8493647912885647,666,468,198,83
fcos18_depgraph_fpn_head_50pct,0.55,0.7896613190730831,0.7758318739054276,0.8039927404718679,571,443,128,108
fcos18_depgraph_fpn_head_50pct,0.584,0.801869158878504,0.826589595375721,0.7785843920145176,519,429,90,122
fcos18_depgraph_fpn_head_50pct,0.6,0.8076923076923069,0.8588957055214705,0.7622504537205067,489,420,69,131
fcos18_depgraph_fpn_head_50pct,0.65,0.7876923076923069,0.9056603773584884,0.6969147005444634,424,384,40,167
fcos18_depgraph_fpn_head_50pct,0.7,0.7390350877192974,0.9335180055401635,0.6116152450090733,361,337,24,214
fcos18_depgraph_fpn_head_50pct,0.75,0.6467065868263465,0.9507042253521093,0.4900181488203258,284,270,14,281
fcos18_depgraph_fpn_head_50pct,0.8,0.5257595772787311,0.9660194174757235,0.36116152450090677,206,199,7,352
fcos18_depgraph_fpn_head_60pct,0.3,0.6032482598607886,0.44330775788576265,0.9437386569872941,1173,520,653,31
fcos18_depgraph_fpn_head_60pct,0.35,0.6973865199449789,0.5614617940199329,0.9201451905626117,903,507,396,44
fcos18_depgraph_fpn_head_60pct,0.4,0.7589424572317257,0.6639455782312916,0.8856624319419222,735,488,247,63
fcos18_depgraph_fpn_head_60pct,0.45,0.7810344827586201,0.7438423645320185,0.8221415607985466,609,453,156,98
fcos18_depgraph_fpn_head_60pct,0.5,0.7999999999999994,0.8206106870228992,0.7803992740471855,524,430,94,121
fcos18_depgraph_fpn_head_60pct,0.55,0.7999999999999992,0.8801742919389959,0.7332123411978207,459,404,55,147
fcos18_depgraph_fpn_head_60pct,0.584,0.7800829875518664,0.9104116222760268,0.6823956442831204,413,376,37,175
fcos18_depgraph_fpn_head_60pct,0.6,0.765143464399574,0.9230769230769207,0.6533575317604343,390,360,30,191
fcos18_depgraph_fpn_head_60pct,0.65,0.7060158910329163,0.9424242424242395,0.5644283121597086,330,311,19,240
fcos18_depgraph_fpn_head_60pct,0.7,0.6208588957055207,0.9583333333333296,0.4591651542649719,264,253,11,298
fcos18_depgraph_fpn_head_60pct,0.75,0.5315789473684204,0.9665071770334882,0.3666061705989104,209,202,7,349
fcos18_depgraph_fpn_head_60pct,0.8,0.35119047619047566,0.9752066115702399,0.21415607985480903,121,118,3,433
fcos18_depgraph_fpn_head_70pct,0.3,0.6319657072872011,0.4768946395563767,0.9364791288566225,1082,516,566,35
fcos18_depgraph_fpn_head_70pct,0.35,0.7326880119136258,0.6212121212121204,0.8929219600725936,792,492,300,59
fcos18_depgraph_fpn_head_70pct,0.4,0.7713080168776365,0.7208201892744468,0.829401088929218,634,457,177,94
fcos18_depgraph_fpn_head_70pct,0.45,0.7891791044776113,0.8119001919385781,0.7676950998185104,521,423,98,128
fcos18_depgraph_fpn_head_70pct,0.5,0.78078078078078,0.8705357142857123,0.7078039927404706,448,390,58,161
fcos18_depgraph_fpn_head_70pct,0.55,0.7510729613733897,0.9186351706036721,0.6352087114337557,381,350,31,201
fcos18_depgraph_fpn_head_70pct,0.584,0.7152466367712996,0.9354838709677391,0.5789473684210515,341,319,22,232
fcos18_depgraph_fpn_head_70pct,0.6,0.6980482204362793,0.949999999999997,0.5517241379310335,320,304,16,247
fcos18_depgraph_fpn_head_70pct,0.65,0.6089108910891081,0.9571984435797627,0.4464609800362968,257,246,11,305
fcos18_depgraph_fpn_head_70pct,0.7,0.48369565217391236,0.962162162162157,0.32304900181488144,185,178,7,373
fcos18_depgraph_fpn_head_70pct,0.75,0.34379671150971547,0.9745762711864324,0.20871143375680543,118,115,3,436
fcos18_depgraph_fpn_head_70pct,0.8,0.22471910112359514,0.9722222222222088,0.12704174228675114,72,70,2,481
